html_url,id_number,importance,product,component,assignee,status,resolution,summary,changeddate,has_input_program,has_patch,refactoring type,symptom,sub symptom,input property
https://bz.apache.org/netbeans/show_bug.cgi?id=270953,270953,P2,java,Refactor,sdedic,RESO,FIXE,Refactor -> Introduce Method... inside lambda does not consider referenced finals,2017/7/26,1,0,Introduce Method,compile error,compile error,
https://bz.apache.org/netbeans/show_bug.cgi?id=270360,270360,P2,java,Refactor,dbalek,RESO,FIXE,Move class to type refactoring leaves old package declaration,2017/5/28,1,0,Move class,compile error,compile error,
https://bz.apache.org/netbeans/show_bug.cgi?id=270036,270036,P2,java,Refactor,sdedic,RESO,FIXE,Class name change refactoring does not change class name in annotations or enums parameters,2017/3/30,1,0,Rename class,compile error,compile error,annotation
https://bz.apache.org/netbeans/show_bug.cgi?id=219199,219199,P4,java,Refactor,ralphbenjamin,VERI,FIXE,Refactoring Push Down Creates Blank Line Between Fields,2016/7/23,1,0,Push Down,unnecessary change,unnecessary change,
https://bz.apache.org/netbeans/show_bug.cgi?id=192416,192416,P4,java,Refactor,jbecicka,VERI,FIXE,[70cat] Extract superclass refactoring generates non compilable code,2016/7/9,1,0,Extract superclass,compile error,compile error,
https://bz.apache.org/netbeans/show_bug.cgi?id=259004,259004,P3,java,Refactor,ralphbenjamin,RESO,FIXE,Inner to Outer refactoring breaks implicit lambdas,2016/5/7,1,0,Move Inner to Outer Level,compile error,compile error,
https://bz.apache.org/netbeans/show_bug.cgi?id=236189,236189,P3,java,Refactor,ralphbenjamin,RESO,FIXE,Illegal qualified enum names after Move refactoring,2016/3/3,1,0,move inner class to outer level,compile error,compile error,enum
https://bz.apache.org/netbeans/show_bug.cgi?id=254705,254705,P3,java,Refactor,ralphbenjamin,VERI,FIXE,NullPointerException at org.netbeans.modules.refactoring.java.plugins.PushDownTransformer.visitMemberSelect,2015/9/9,1,0,Push Down,crash,exception,
https://bz.apache.org/netbeans/show_bug.cgi?id=254704,254704,P1,java,Refactor,ralphbenjamin,VERI,FIXE,Change method parameters refactoring is broken when chaining methods in some specific order,2015/9/1,1,0,Change Method Parameters,failed refactoring,fail to refactoring,
https://bz.apache.org/netbeans/show_bug.cgi?id=254599,254599,P1,java,Refactor,ralphbenjamin,VERI,FIXE,Rename refactoring does not find method uses when chaining methods in some specific order,2015/8/26,1,0,Rename method,failed refactoring,fail to refactoring,BigDecimal
https://bz.apache.org/netbeans/show_bug.cgi?id=253089,253089,P3,java,Refactor,ralphbenjamin,RESO,FIXE,NullPointerException at org.netbeans.modules.refactoring.java.ui.EncapsulateFieldUI.create,2015/6/30,1,0,encapsulate fields,crash,exception,getter setter
https://bz.apache.org/netbeans/show_bug.cgi?id=253179,253179,P3,java,Refactor,ralphbenjamin,RESO,FIXE,"Refactor of overloaded static import doesn't work as expected, causes compiler errors",2015/6/30,1,0,rename method,failed refactoring,fail to refactoring,static method
https://bz.apache.org/netbeans/show_bug.cgi?id=228708,228708,P3,java,Refactor,ralphbenjamin,RESO,FIXE,[Invert Boolean] Disable invert refactoring for overriding methods,2015/3/9,1,0,rename method,compile error,compile error,annotation
https://bz.apache.org/netbeans/show_bug.cgi?id=250415,250415,P3,java,Refactor,ralphbenjamin,RESO,FIXE,Refactor Rename ... Class should rename Class in @see or @link Class#member javadoc,2015/2/17,1,0,rename class,failed refactoring,fail to refactoring,comment related
https://bz.apache.org/netbeans/show_bug.cgi?id=250421,250421,P2,java,Refactor,ralphbenjamin,RESO,FIXE,Refactor move to another class loses comments,2015/2/17,1,0,move method,comment related,comment related,
