html_url,title,state,created_at,closed_at,has_input,has_patch,refactoring_type,symptom,input_program_property,root_cause,content_text
https://github.com/eclipse-jdt/eclipse.jdt.ui/issues/1360,Inline method refactoring leads to changes in refactoring access permissions,closed,2024-04-23 07:52:19+00:00,2024-04-30 16:00:24+00:00,1,1,Inline method,behavior change,nan,ast rewrite issue,"Inline method refactoring leads to changes in refactoring access permissions #1360
Eclipse version：2023-9
Repeat the steps：

select “originalMethod() ”
click “Refactor-inlinemethod”

class OriginalClass {
private boolean flag = false;
public synchronized void originalMethod() throws InterruptedException {
// Some logic here
flag = true;
notify();
}
public void callerMethod() throws InterruptedException {
        	originalMethod() ;
}
}










refactoring result:

Expected behavior: Before refactoring, inline methods contain access permissions for synchronization modifiers, but are missing after inlining; Synchronized block addition for inline method body code
"
https://github.com/eclipse-jdt/eclipse.jdt.ui/issues/1305,BugÃ¯Â¼Å¡Move method depends on the static method of the original class and the static method of the inner class,closed,2024-04-02 03:32:47+00:00,2024-04-16 12:15:27+00:00,1,0,Move method,compile error,nan,nan,"Bug：Move method depends on the static method of the original class and the static method of the inner class #1305
Refactoring results:
Duplicate of #1306
"
https://github.com/eclipse-jdt/eclipse.jdt.ui/issues/1273,"Cleanup: ""Convert String to TextBlock"" deletes comments",closed,2024-03-20 09:54:40+00:00,2024-03-22 04:17:54+00:00,1,1,Convert String to TextBlock,comment related,nan,ast rewrite issue,"Cleanup: ""Convert String to TextBlock"" deletes comments #1273
Java TextBlocks can not contain comments
https://stackoverflow.com/questions/70198251/comments-inside-text-block-in-java-17-is-that-possible
But they should not be silently deleted.
Possibilites: completely skip the refactoring for that string or concat several Textblocks with comments.
Example:
org.eclipse.jdt.core.tests.model.SearchTests.testSearchPatternCreation37() (which also fails after cleanup)
I think skipping the refactoring makes sense.  We could in the future add a preference to ignore line comments if they aren't non-NLS markers.
Bug occurs because code didn't escape the last space before the end quotes.  I will fix shortly and will add check for line comments.
"
https://github.com/eclipse-jdt/eclipse.jdt.ui/issues/1286,Extract method in switch expression with yield keep yield in extracted method,closed,2024-03-22 14:05:48+00:00,2024-04-03 02:02:24+00:00,1,1,extract method,compile error,"switch, yield",flow analysis issue,"Extract method in switch expression with yield keep yield in extracted method #1286
Eclipse version: 2024-03
Hello,
I have this method with a switch expression.
    public double amount() {
      return switch (getMovie().getPriceCode()) {
        case Movie.REGULAR -> {
          if (daysRented > 2) {
            yield regularPenalty();
          }
          yield REGULAR_BASE_AMOUNT;
        }
        default -> 0; 
      };
    }









When I extract some logic into separate method, the refactoring keep yield as keyword for returning a value. It should be transform to return to keep a compiling state.
    public double amount() {
      return switch (getMovie().getPriceCode()) {
        case Movie.REGULAR -> {
          regularRental();
        }
        default -> 0;
      };
    }

    private void regularRental() {
      if (daysRented > 2) {
        yield regularPenalty();
      }
      yield REGULAR_BASE_AMOUNT;
    }









Moreover, but less annoying, if I extract the whole block, the extracted method format is ugly.
    public double amount() {
      return switch (getMovie().getPriceCode()) {
        case Movie.REGULAR -> regularRental();
        default -> 0;
      };
    }

    private void regularRental(){if (daysRented > 2) {
      yield regularPenalty();
    }yield REGULAR_BASE_AMOUNT;}
"
https://github.com/eclipse-jdt/eclipse.jdt.ui/issues/1083,"""Make Static"" refactoring erroneously changes method call",closed,2024-01-17 13:30:29+00:00,2024-01-18 22:13:13+00:00,1,1,Make method Static,compile error,nan,Incorrect Type Resolving,"""Make Static"" refactoring erroneously changes method call #1083
The recently introduced ""Make Static"" refactoring (#689) erroneously interprets a method call within an anonymous class inside the refactored method as a call on this and thus changes the method invocation to be performed on the added input parameter of the method. This is (1) semantically incorrect and (2) leads to compile errors if the type of the added parameter does not provide the method.
Expected Behavior
The refactoring should only replace call to methods that are actually performed on this.
To this end, the implementation of InstanceUsageRewriter#isInsideAnonymousClass(...) needs to be corrected.
How to Reproduce
The behavior was found when refactoring the following method:
org.eclipse.jdt.core.tests.compiler.regression.AbstractRegressionTest#findReferences(String)
It can be reproduced with the following minimal examples:
Incorrect Call
When calling a method inside an anonymous class that is provided by the encapsulating class, there will be a wrong method call.
public class Foo {
	
	void toBeRefactored() {
		new Foo() {
			void toImplement() {
				toCall();
			}
		};
	}
	
	void toCall() { }
	
	void toImplement() { }
	
}









Refactoring toBeRefactored() produces:
public class Foo {
	
	static void toBeRefactored(Foo foo) {
		new Foo() {
			void toImplement() {
				foo.toCall();
			}
		};
	}
	
	void toCall() { }
	
	void toImplement() { }
	
}









But actually the call to toBeCalled() was made on an instance of the anonymous inner class rather than the outer instance in the toBeRefactored method. So in this case the refactoring should only add the static keyword and nothing else.
Compile Error
When calling a method inside an anonymous class that is not provided by the encapsulating class, there will be a compile error (for the same reason), also in case the anonymous class is nested:
public class Foo {
	int j = 0;
	
	void toBeRefactored() {
		this.j = 1;
		new Other() {
			@Override
			void toImplement() {
				new Object() {
					@Override
					public boolean equals(Object obj) {
						toCall();
						return false;
					}
				};
			}
		};
	}
}

public abstract class Other {
	abstract void toImplement();
	void toCall() {
	}
}









Refactoring toBeRefactored() produces:
public class Foo {
	int j = 0;
	
	void toBeRefactored(Foo foo) {
		foo.j = 1;
		new Other() {
			@Override
			void toImplement() {
				new Object() {
					@Override
					public boolean equals(Object obj) {
						foo.toCall();
						return false;
					}
				};
			}
		};
	}
}









This contains the same faulty foo.toCall() as in the first example.
"
https://github.com/eclipse-jdt/eclipse.jdt.ui/issues/1044,"""Make Static"" refactoring adds unnecessary parameter",closed,2024-01-05 08:28:55+00:00,2024-01-16 19:16:27+00:00,1,1,Make method Static,compile error,nan,ast rewrite issue,"""Make Static"" refactoring adds unnecessary parameter #1044
The recently introduced ""Make Static"" refactoring (#689) adds a parameter for the this object in some cases in which it is not unnecessary because no this reference is used within the method body.
This is a finding that has been made during verification of the original refactoring contribution: #689 (comment)
Expected Behavior
The refactoring should only introduce a parameter for the original this object in case this is actually accessed in the original method body.
How to Reproduce
The failure can, for example, be reproduced when applying the refactoring to org.eclipse.jdt.core.tests.compiler.regression.AbstractRegressionTest#getCompilerTestsPluginDirectoryPath().
The refactoring introduces an unnecessary AbstractRegressionTest parameter.
Before:
protected String getCompilerTestsPluginDirectoryPath() {
	try {
		URL platformURL = Platform.getBundle(""org.eclipse.jdt.core.tests.compiler"").getEntry(""/"");
		return new File(FileLocator.toFileURL(platformURL).getFile()).getAbsolutePath();
	} catch (IOException e) {
		e.printStackTrace();
	}
	return null;
}









After:
protected static String getCompilerTestsPluginDirectoryPath(AbstractRegressionTest abstractRegressionTest) {
	try {
		URL platformURL = Platform.getBundle(""org.eclipse.jdt.core.tests.compiler"").getEntry(""/"");
		return new File(FileLocator.toFileURL(platformURL).getFile()).getAbsolutePath();
	} catch (IOException e) {
		e.printStackTrace();
	}
	return null;
}
"
https://github.com/eclipse-jdt/eclipse.jdt.ui/issues/1045,"""Make Static"" refactoring failing because of overlapping text edits",closed,2024-01-05 08:29:04+00:00,2024-01-17 00:04:03+00:00,1,1,Make method Static,exception,nan,ast rewrite issue,"""Make Static"" refactoring failing because of overlapping text edits #1045
The recently introduced ""Make Static"" refactoring (#689) fails to be applied because of ""overlapping text edits"" in some cases.
This is a finding that has been made during verification of the original refactoring contribution: #689 (comment)
Expected Behavior
The refactoring should not fail because of producing overlapping text edits.
How to Reproduce
The failure can, for example, be reproduced when applying the refactoring to org.eclipse.jdt.internal.codeassist.CompletionEngine#checkCancel()
"
https://github.com/eclipse-jdt/eclipse.jdt.ui/issues/1043,"""Make Static"" refactoring adds new parameter documentation as first javdoc entry",closed,2024-01-05 08:26:20+00:00,2024-01-18 21:51:56+00:00,1,1,Make method Static,comment related,nan,ast rewrite issue,"""Make Static"" refactoring adds new parameter documentation as first javdoc entry #1043
The recently introduced ""Make Static"" refactoring (#689) adds the documentation of a new parameter for the this object at the beginning of the javadoc comment, although this is usually not the expected position of a parameter documentation.
This is a finding that has been made during verification of the original refactoring contribution: #689 (comment)
Expected Behavior
The refactoring should add the parameter documentation in javadoc at a ""reasonable"" position, such as between the general documentation and potentially existing other parameter and return value documentations.
I propose to reuse the behavior already implemented for the ""Change Method Signature"" refactoring, as it already places the documentation for added parameters at reasonable positions.
How to Reproduce
The behavior can be reproduced when refactoring any method with an existing javadoc comment.
The results when applying it to
org.eclipse.jdt.core.tests.compiler.regression.AbstractRegressionTest#getCompilerTestsPluginDirectoryPath() with some extended documentation look as follows.
Before:
/**
* Returns the OS path to the directory that contains this plugin.
*
* @return OS path of the plugin directory
* @author unknown
*/









After:
/**
* @param abstractRegressionTest
* Returns the OS path to the directory that contains this plugin.
*
* @return OS path of the plugin directory
* @author unknown
*/









Result when a adding parameter with ""Change Method Signature"" refactoring:
/**
* Returns the OS path to the directory that contains this plugin.
* @param newParameter TODO
*
* @return OS path of the plugin directory
* @author unknown
*/
"
https://github.com/eclipse-jdt/eclipse.jdt.ui/issues/1111,Convert to text block save action formatting is strange,closed,2024-01-19 16:02:08+00:00,2024-01-22 22:40:35+00:00,1,1,Convert to text block,unnecessary change,nan,ast rewrite issue,"Convert to text block save action formatting is strange #1111
The save action ""Convert String concatenation to Text Block"" under the Java Feature tab results in strange formatting. As an example, if you start with the following:
var s = ""a "" +
    ""b "" +
    ""c"";









you end up with this:
var s3 = """"""
	a\s\
	b\s\
	c"""""";









While the end result is correct, there are a couple things that could be improved:

The \s is unnecessary and should just be a literal space
Tabs are inserted even when using spaces for indentation

I would expect the refactoring to look more like this when using spaces for indentation:
var s2 = """"""
    a \
    b \
    c"""""";









In all cases, the output should be the single line
a b c
"
https://github.com/eclipse-jdt/eclipse.jdt.ui/issues/963,Cleanup: Convert to enhanced 'for' loops creates not compilable code,closed,2023-12-04 08:27:03+00:00,2024-02-05 15:51:15+00:00,1,1,Convert to enhanced 'for' loops,compile error,nan,ast rewrite issue,"Cleanup: Convert to enhanced 'for' loops creates not compilable code #963
Iterable<? extends File> files= null;			
		int count = 0;
		for (Iterator<? extends File> iterator = files.iterator(); iterator.hasNext(); ) {
			iterator.next();
			count++;
		}
source from org.eclipse.jdt.ui.tests.refactoring.infra.DebugUtils.dumpIMethodList(String, List<?>)
"
