html_url,priority,type,state,subsystem,created_date,has_input_program,input property,symptom,refactoring_type,commit_html_url,root_cause,content_text
https://youtrack.jetbrains.com/issue/IDEA-340915/Bug-Extract-local-variables-causes-syntax-errors,Normal,Bug,Fixed,Java. Refactorings,20 Mar,1,nan,compile error,extract local variable,https://github.com/JetBrains/intellij-community/commit/6583f8ee65b0a9bf9c4eb224b1ecc84a06f3ba0a,overly weak preconditions,"Bug： Extract local variables causes syntax errors
What steps will reproduce the issue?
When extracting the variable for the super keyword in c()
    class A {
        public void £() {
        }
    }

    class B extends A {
        public void c() {
            super.£(); //select `super` and extract variable
        }
    }

Javathe refactoring result is as follows， there exists a syntax error.

What is the expected result?
The reconstruction of super keyword extraction variables should not be supported.
"
https://youtrack.jetbrains.com/issue/IDEA-332489/Inlining-refactoring-operation-leads-to-naming-conflicts,Normal,Bug,Fixed,Java. Refactorings,18 Mar,1,inner class,compile error,inline method,https://github.com/JetBrains/intellij-community/commit/21617c81371b0f1573a0ccb54aa70dd205982687;https://github.com/JetBrains/intellij-community/commit/b8b69757376b839967435cb9a92a8853f927906d,overly weak preconditions,"Inlining refactoring operation leads to naming conflicts
What steps will reproduce the issue?
1.  Perform an inline refactoring operation on the 'foo()' method in the test case.
public class TestCase{
	public void main() {
		class T {
			public T() {}
		}
		/*]*/foo();/*[*/
	}
	
	public void foo() {
		class T {
			T t;
			public T() {}
		}
	}
}

 2. Result of the inline refactoring execution

3. The result indicates a naming conflict between the inner class 'T' in the 'foo()' method and the inner class 'T' in the 'main' method. Therefore, when performing an inline refactoring, it is important to check for naming conflicts between identifiers within the method body and the target method body.
What happens instead?
Please attach the IDE logs to the issue. You can get them by selecting Collect Logs and Diagnostic Data from the Help menu.
If possible, please attach a code sample, screenshot, or screencast that illustrates the problem.
To make the issue visible only to the JetBrains team, you can set its visibility to the jetbrains-team group. With the exception of images, all attachments are visible only to the JetBrains team by default.
If you can’t provide IDE logs, please provide information about the IDE version and the OS you are using. You can copy these details from the About dialog in the Help or App menu.
If you are experiencing performance issues, please also attach the relevant snapshots.
"
https://youtrack.jetbrains.com/issue/IDEA-195246/Inline-this-variable-only-and-keep-this-reference-Cannot-perform-refactoring-variable-is-accessed-for-writing,Normal,Bug,Fixed,Java. Refactorings,11 Mar,1,nan,incorrect warning message,inline variable,https://github.com/JetBrains/intellij-community/commit/8051e35d6dd3286700be0ac2f7e5f4aef8b9bc40,overly weak preconditions,"Inline this variable only and keep this reference: Cannot perform refactoring, variable is accessed for writing
String bla = ""bla"";

        System.out.println(bla);
        bla = ""bla3"";
        System.out.println(bla);
        System.out.println(bla);
        bla = ""bla4"";
        System.out.println(bla);  1. Use Ctrl-Alt-N (inline) on the second assignment.What is the expected result?Don't allow me to choose something that won't work.What happens instead?IntelliJ tells me after the fact that this refactoring doesn't apply to this situation. IntelliJ IDEA 2018.2 EAP (Ultimate Edition)Build #IU-182.3569.1, built on July 3, 2018IntelliJ IDEA EAP UserExpiration date: August 2, 2018JRE: 1.8.0_152-release-1226-b7 amd64JVM: OpenJDK 64-Bit Server VM by JetBrains s.r.oWindows 10 10.0
"
https://youtrack.jetbrains.com/issue/IDEA-343148/Introduce-constant-causes-exception-for-implicit-classes,Normal,Bug,Fixed,Java. Refactorings,26 Jan,1,implicit class,exception,Introduce constant,https://github.com/JetBrains/intellij-community/commit/d72e824939e21dded0ec53be8fd0cd3272a10692;https://github.com/JetBrains/intellij-community/commit/ab3056d33d4280b304433bcdcb9ab8fe8a7b68ab;https://github.com/JetBrains/intellij-community/commit/ff0b78a15b95d566a179f26a90878ea1e4d7749f,ast rewrite issue,"`Introduce constant` causes exception for implicit classes
void main() {

    int a = 1<caret>;

    System.out.println(a);
}

JavaApply: ctrl+shift+c
Result: exception
"
https://youtrack.jetbrains.com/issue/IDEA-321620/Move-Static-Members-produces-red-code-when-static-import-is-present,Normal,Bug,Fixed,Java. Refactorings,17 Jan,1,nan,compile error,Move Static Members,https://github.com/JetBrains/intellij-community/commit/d62f8988b62c07bdc833671a38c193a8230bf2a1;https://github.com/JetBrains/intellij-community/commit/8e3d29b3f9e373d2b9a196fd922e3e6555fbf9f2,ast rewrite issue,"Move Static Members produces red code when static import is present
On the following code, move the method x() to class Y using the Move Members refactoring. Visibility should be ""Escalate"".
package one;

import static one.X.Y.*;

class X {
    void run() {
        x();
        y();
    }
    private static void x() {}
    
    static class Y {
        static void y() {}
    }
}

 Result:

package one;

import static one.X.Y.*;

class X {
    void run() {
        x(); // red code here
        y();
    }

    static class Y {
        static void y() {}

        private static void x() {}
    }
}

 The resulting code does not compile, because x() is private and it is not possible to statically import private members. Move members should either qualify the call with the class name or preferably escalate the visibility of x() to package-local.
"
https://youtrack.jetbrains.com/issue/IDEA-336815/Inline-variable-misleading-error-message-when-compile-errors-are-present,Normal,Bug,Fixed,Java. Refactorings,17 Jan,1,nan,incorrect warning message,inline variable,https://github.com/JetBrains/intellij-community/commit/fd00898d32a86f01ab267553eed33f7241df7974;https://github.com/JetBrains/intellij-community/commit/c6fbff80c0704b0b4573de7b6411110d29307284,flow analysis issue,"""Inline variable"" misleading error message when compile-errors are present
(follow up on IDEA-191147)
Try to inline the variable inlineMe:
class Scratch
{
    public static void main(String[] args)
    {
        int inlineMe = 3; // inline
        int dd = 4 + inlineMe;
        
        ""Error"".
    }
}

JavaExpected:
Error message about that the refactoring cannot be used because there is a compile error
Actual:
Error message ""Variable is never used before modification"" is shown, which is misleading
"
https://youtrack.jetbrains.com/issue/IDEA-300134/Introduce-Field-in-an-interface-should-probably-be-disabled,Normal,Bug,Fixed,Java. Refactorings,17 Jan,1,nan,compile error,Introduce Field,https://github.com/JetBrains/intellij-community/commit/72faf00daff065f2a205c4585980a8740e7d54ff,overly weak preconditions,"""Introduce Field"" in an interface should probably be disabled
Example:
interface Date {

  default int getMonth() {
    int result = 0;
    return result;
  }
}

JavaIt's possible to invoke ""Introduce field"" on the result variable. A private field is then generated, which naturally does not compile. It gets worse when the initialization is put in the current method or the constructor by the refactoring.
Trying to introduce a field for the 0 literal is not allowed as expected. However, a constant is a kind of field. Thus, it may be more user-friendly to delegate ""Introduce Field"" to ""Introduce Constant"" when inside an interface.
"
https://youtrack.jetbrains.com/issue/IDEA-198440/Introducing-field-of-local-class-type-should-probably-be-disallowed,Normal,Bug,Fixed,Java. Refactorings,17 Jan,1,local class,compile error,introduce field,https://github.com/JetBrains/intellij-community/commit/b2cf7e2e4ba97483ed8ff3c8145da778a04a361a;https://github.com/JetBrains/intellij-community/commit/44373573e7cfb169fb261b103b94de0402e1cb01,overly weak preconditions,"Introducing field of local class type should probably be disallowed
For example introduce a field from the new Local() expression in the following code:class K {
    void m() {
        class Local {
            void locally() {}
        }
        new Local().locally();
    }
} result something like (depending on where the field is initialized):class K {
    private final Local local;

    public K() {
        local = new Local();
    }

    void m() {
        class Local {
            void locally() {}
        }
        local.locally();
    }
} which does not compile.
"
https://youtrack.jetbrains.com/issue/IDEA-340087/Introduce-variable-throws-exception-in-implicit-classes,Normal,Bug,Fixed,Java. Refactorings,17 Jan,1,implicit class,exception,introduce variable,https://github.com/JetBrains/intellij-community/commit/7ed93305c1e2eebc2b2ba78c27c842d95115c105,ast rewrite issue,"Introduce variable throws exception in implicit classes
Call introduce variable:
class Nested {
}

void main() {
    System.out.println(<selection>Nested.class</selection>);
}

Javacom.intellij.util.IncorrectOperationException: Incorrect type 'java.lang.Class<null.Nested>' (JDK_X)
	at com.intellij.psi.impl.PsiJavaParserFacadeImpl.newException(PsiJavaParserFacadeImpl.java:388)
	at com.intellij.psi.impl.PsiJavaParserFacadeImpl.createTypeElementFromText(PsiJavaParserFacadeImpl.java:231)
	at com.intellij.psi.impl.source.tree.JavaTreeGenerator.generateTreeFor(JavaTreeGenerator.java:120)
	at com.intellij.psi.impl.source.tree.ChangeUtil.lambda$generateTreeElement$2(ChangeUtil.java:133)


 
"
https://youtrack.jetbrains.com/issue/IDEA-338428/Inline-pattern-variable-doesnt-work-when-its-located-in-nested-condition,Normal,Bug,Fixed,Java. Refactorings,11 Jan,1,nested condition,exception,inline variable,https://github.com/JetBrains/intellij-community/commit/fc4f8118d2abc4efb20d7668d7879991d3b83d3d,flow analysis issue,"Inline pattern variable doesn't work when it's located in nested condition
Code:
class Test {
  void test(Object obj) {
    if (Math.random() > 0.5 || (obj instanceof String <caret>s && s.isEmpty())) {
      System.out.println();
    }
  }
}

JavaExpected:
class Test {
  void test(Object obj) {
    if (Math.random() > 0.5 || (obj instanceof String && ((String) obj).isEmpty())) {
      System.out.println();
    }
  }
}

JavaActual:
java.lang.NullPointerException
	at java.base/java.util.Objects.requireNonNull(Objects.java:208)
	at java.base/java.util.ImmutableCollections$List12.<init>(ImmutableCollections.java:556)
	at java.base/java.util.List.of(List.java:812)
	at com.intellij.refactoring.inline.InlineLocalHandler.doInline(InlineLocalHandler.java:111)
	at com.intellij.refactoring.inline.InlineLocalHandler.perform(InlineLocalHandler.java:102)
	at com.intellij.refactoring.inline.InlineLocalHandler.lambda$inlineElement$0(InlineLocalHandler.java:74)

Java stack trace
"
