html_url,id_number,importance,product,component,assignee,status,resolution,summary,changeddate,symptom category,author patch,input program,input property,refactoring type,root cause
https://bugs.eclipse.org/bugs/show_bug.cgi?id=573643,573643,P3,JDT,UI,jdt-ui-inbox,RESO,FIXE,Over-enthusiastic refactor constructor argument to local variable,2023/6/8,behavior change,1,1,super constructor,extract local variable,overly weak preconditions
https://bugs.eclipse.org/bugs/show_bug.cgi?id=475186,475186,P3,JDT,Core,markus.kell.r,CLOS,FIXE,[search] for declarations finds overloaded method => wrong Rename refactoring,2022/4/13,behavior change,1,1,overloaded method,rename method,Incorrect Type Resolving
https://bugs.eclipse.org/bugs/show_bug.cgi?id=566879,566879,P3,JDT,UI,jjohnstn,VERI,FIXE,[15] refactoring pattern instanceof with Use SuperType option produces incorrect code,2022/1/5,compile error,1,1,instanceof,Use supertype wherever possible,Incorrect Type Resolving
https://bugs.eclipse.org/bugs/show_bug.cgi?id=566881,566881,P3,JDT,UI,jdt-ui-inbox,CLOS,FIXE,[15] refactor patterninstanceof for extracting a method gives wrong code,2021/11/9,compile error,0,1,instanceof,extract method,
https://bugs.eclipse.org/bugs/show_bug.cgi?id=575718,575718,P3,JDT,Core,Vikas.Chandra,RESO,FIXE,[17][switch pattern][selection] Refactor operation on a Guarded pattern case variable reports an error in error log.,2021/9/7,exception,1,1,instanceof,-,selection parsing issue
https://bugs.eclipse.org/bugs/show_bug.cgi?id=573884,573884,P3,JDT,UI,jjohnstn,VERI,FIXE,"[refactoring] ""Extract superclass"" produces compile errors",2021/8/17,compile error,1,1,super constructor,extract superclass,ast rewrite issue
https://bugs.eclipse.org/bugs/show_bug.cgi?id=574736,574736,P3,JDT,UI,sarika.sinha,RESO,FIXE,[17] Refactor rename of local variable used in Pattern Matching for switch results in error,2021/8/12,exception,1,1,switch case,rename variable,selection parsing issue
https://bugs.eclipse.org/bugs/show_bug.cgi?id=559681,559681,P3,JDT,UI,kalyan_prasad,VERI,FIXE,[14] Refactor rename is not working for component of a record.,2021/6/15,compile error,1,1,record,rename field,Incorrect Type Resolving
https://bugs.eclipse.org/bugs/show_bug.cgi?id=572100,572100,P3,JDT,Core,Vikas.Chandra,VERI,FIXE,[refactoring][search] [record] Move Type to a New File ... throws a ClassCastException,2021/6/2,exception,1,1,record,Move member type to new File,Incorrect Type Resolving
https://bugs.eclipse.org/bugs/show_bug.cgi?id=573624,573624,P3,JDT,UI,kalyan_prasad,VERI,FIXE,[record] refactor rename to an existing method is allowed resulting in compilation failure,2021/5/26,compile error,1,1,record,rename method,overly weak preconditions
https://bugs.eclipse.org/bugs/show_bug.cgi?id=572639,572639,P3,JDT,UI,kalyan_prasad,VERI,FIXE,The import XYZ cannot be resolved after Refactor ->Move to a new file.,2021/5/17,compile error,1,1,record,Move member type to new File,ast rewrite issue
https://bugs.eclipse.org/bugs/show_bug.cgi?id=546819,546819,P3,JDT,UI,jjohnstn,VERI,FIXE,Refactor method with varargs might remove the varargs parameter,2021/5/4,compile error,1,1,varargs,change method signature,Incorrect Type Resolving
https://bugs.eclipse.org/bugs/show_bug.cgi?id=570587,570587,P3,JDT,UI,carsten.hammer,VERI,FIXE,Unnecessary loss of performance in refactoring,2021/4/6,bad performance,1,1,toString(),-,others
https://bugs.eclipse.org/bugs/show_bug.cgi?id=566944,566944,P3,JDT,UI,kalyan_prasad,VERI,FIXE,[15] record Compact Constructor - Refactor -> Introduce Parameter Object gives NPE/ unhandled loop event exception,2021/2/17,exception,1,1,record,Introduce Parameter Object,overly weak preconditions
https://bugs.eclipse.org/bugs/show_bug.cgi?id=567975,567975,P3,JDT,Core,jjohnstn,VERI,FIXE,AssertionFailedException thrown by org.eclipse.ltk.ui.refactoring,2021/2/16,exception,1,1,default method,inline method,ast rewrite issue
https://bugs.eclipse.org/bugs/show_bug.cgi?id=570245,570245,P3,JDT,UI,jdt-ui-inbox,RESO,FIXE,[16] No option to refactor rename local enums,2021/1/22,not available,1,1,enum,rename enum,selection parsing issue
https://bugs.eclipse.org/bugs/show_bug.cgi?id=566851,566851,P3,JDT,UI,noopur_gupta,RESO,FIXE,[15] record - Refactor -> Extract Interface not adding implements,2021/1/13,compile error,1,1,record,extract interface,ast rewrite issue
https://bugs.eclipse.org/bugs/show_bug.cgi?id=566945,566945,P3,JDT,UI,noopur_gupta,VERI,FIXE,[15] record Compact Constructor - Refactor -> Introduce Factory gives InvocationTargetException due to IAE,2021/1/6,exception,0,1,,introduce factory,
https://bugs.eclipse.org/bugs/show_bug.cgi?id=566866,566866,P3,JDT,UI,kalyan_prasad,VERI,FIXE,[15] record - refactor - change method signature - unresolved int,2020/11/24,incorrect warning message,1,1,record,change method signature,overly strong preconditions
https://bugs.eclipse.org/bugs/show_bug.cgi?id=566943,566943,P3,JDT,UI,kalyan_prasad,VERI,FIXE,[15] record canonical constructor - Refactor -> Introduce Factory decreases visibility - error,2020/11/24,compile error,1,1,record,introduce factory,overly weak preconditions
https://bugs.eclipse.org/bugs/show_bug.cgi?id=568987,568987,P3,JDT,UI,kalyan_prasad,VERI,FIXE,[15] record compact constructor - Refactor -> Introduce Factory causes NPE,2020/11/24,exception,1,1,record,introduce factory,overly weak preconditions
https://bugs.eclipse.org/bugs/show_bug.cgi?id=567438,567438,P3,JDT,UI,fabrice.tiercelin,VERI,FIXE,Refactor is broken for method parameters,2020/11/21,exception,1,1,-,change method signature,overly strong preconditions
