title,url,priority,type,state,subsystem,affected version,included in builds,avaliable in,latest affected,created date,refactoring_haibo,refactoring_zhuolin,final label,input program,final label1,input property,symptoms,refactoring type,commit_html_url,new root cause,new root cause zl,stage,stage zl,"disagree (root cause, stage)",checked,cross checked,reproducebale,might need to remove,oracle,notes,initialize refactoring,propocess/ precondition,,perform change,confused,note
Introduce parameter's Delegate inlay doesn't work,https://youtrack.jetbrains.com/issue/IDEA-349736/Introduce-parameters-Delegate-inlay-doesnt-work,Normal,Bug,Fixed,Java. Refactorings,Not specified,242.4009,Not specified,Not specified,Yesterday,n,y,n,,n,,exception,Introduce parameter,https://github.com/JetBrains/intellij-community/commit/76e1902f7e1e02bbd5a94d38d13458ad4fb269bb,,,Create Change,,,,0,,,,,,,,,,
Introduce parameter with overloading delegate method creates two duplicate delegating methods,https://youtrack.jetbrains.com/issue/IDEA-324562/Introduce-parameter-with-overloading-delegate-method-creates-two-duplicate-delegating-methods,Normal,Bug,Fixed,Java. Refactorings,2023.1 (231.8109.175),"233.2297, 233.6745.35",2023.3,2023.3,Yesterday,n,y,y,0,n,,compile error,Introduce parameter,https://github.com/JetBrains/intellij-community/commit/3ce421f2d384ad5e1d7899011d5e1984d79769cb,ast transformation issue,,Create Change,,,,0,,,,,,,,1,,performRefactoring
Bug： Extract local variables causes syntax errors,https://youtrack.jetbrains.com/issue/IDEA-340915/Bug-Extract-local-variables-causes-syntax-errors,Normal,Bug,Fixed,Java. Refactorings,2021.3.3 (213.7172.25),242.2079,Not specified,2024.1,20 Mar,y,,,1,y,,compile error,extract local variable,https://github.com/JetBrains/intellij-community/commit/6583f8ee65b0a9bf9c4eb224b1ecc84a06f3ba0a,overly weak preconditions,refactoring availability checking issue,Initialize Refactoring,Initialize Refactoring,0,,1,1,,,,,,,1,,"perform, performRefactoringAction, processUsages"
Inlining refactoring operation leads to naming conflicts,https://youtrack.jetbrains.com/issue/IDEA-332489/Inlining-refactoring-operation-leads-to-naming-conflicts,Normal,Bug,Fixed,Java. Refactorings,2023.3.4 (233.14475.28),242.3409,Not specified,2024.1,18 Mar,y,,,1,y,inner class,compile error,inline method,https://github.com/JetBrains/intellij-community/commit/21617c81371b0f1573a0ccb54aa70dd205982687;https://github.com/JetBrains/intellij-community/commit/b8b69757376b839967435cb9a92a8853f927906d,overly weak preconditions,,Initial Condition,,1,,1,1,,,,,,,,,404
"Inline this variable only and keep this reference: Cannot perform refactoring, variable is accessed for writing",https://youtrack.jetbrains.com/issue/IDEA-195246/Inline-this-variable-only-and-keep-this-reference-Cannot-perform-refactoring-variable-is-accessed-for-writing,Normal,Bug,Fixed,Java. Refactorings,Not specified,242.2079,Not specified,Not specified,11 Mar,y,,,1,y,,incorrect warning message,inline variable,https://github.com/JetBrains/intellij-community/commit/8051e35d6dd3286700be0ac2f7e5f4aef8b9bc40,overly weak preconditions,overly weak preconditions,Initial Condition,Initial Condition,0,,1,0,,,,,,,1,,perform() in Handler class
On-demand imports referring to old package name are not removed after package rename,https://youtrack.jetbrains.com/issue/IDEA-171422/On-demand-imports-referring-to-old-package-name-are-not-removed-after-package-rename,Normal,Bug,Fixed,Java. Refactorings,Not specified,242.1785,Not specified,Not specified,4 Mar,y,n,n,,n,,compile error,rename packge,https://github.com/JetBrains/intellij-community/commit/fb03f800df66fda9e9052bd2b6286cedeede14b1,,,Initial Condition,,,,0,,,,,,,,,,
Incorrect message in package rename refactoring preview,https://youtrack.jetbrains.com/issue/IDEA-150910/Incorrect-message-in-package-rename-refactoring-preview,Normal,Bug,Fixed,Java. Refactorings,Not specified,242.1785,Not specified,Not specified,4 Mar,n,,,,n,,,,https://github.com/JetBrains/intellij-community/commit/1c41737bfc7a4ad86249b719d1e437d5062066b9,,,Initial Condition,,,,0,,,,,,,,,,
`Introduce constant` causes exception for implicit classes,https://youtrack.jetbrains.com/issue/IDEA-343148/Introduce-constant-causes-exception-for-implicit-classes,Normal,Bug,Fixed,Java. Refactorings,Not specified,"241.9248, 241.9959.1",2024.1 EAP 2,Not specified,26 Jan,n,y,y,1,y,implicit class,exception,Introduce constant,https://github.com/JetBrains/intellij-community/commit/d72e824939e21dded0ec53be8fd0cd3272a10692;https://github.com/JetBrains/intellij-community/commit/ab3056d33d4280b304433bcdcb9ab8fe8a7b68ab;https://github.com/JetBrains/intellij-community/commit/ff0b78a15b95d566a179f26a90878ea1e4d7749f,ast rewrite issue,ast rewrite issue,Create Change,Create Change,0,,0,,,,,,,,,,404
Move Static Members produces red code when static import is present,https://youtrack.jetbrains.com/issue/IDEA-321620/Move-Static-Members-produces-red-code-when-static-import-is-present,Normal,Bug,Fixed,Java. Refactorings,2022.2.5 (222.4554.10),"241.1392, 241.8102.5",2024.1 EAP 1,2023.2,17 Jan,n,y,y,1,y,,compile error,Move Static Method,https://github.com/JetBrains/intellij-community/commit/d62f8988b62c07bdc833671a38c193a8230bf2a1;https://github.com/JetBrains/intellij-community/commit/8e3d29b3f9e373d2b9a196fd922e3e6555fbf9f2,ast rewrite issue,get visibility issue,Create Change,Create Change,"1, get / set?","change to ""visibility issue""",0,,,,,,,,,,404
"""Inline variable"" misleading error message when compile-errors are present",https://youtrack.jetbrains.com/issue/IDEA-336815/Inline-variable-misleading-error-message-when-compile-errors-are-present,Normal,Bug,Fixed,Java. Refactorings,2021.3.3 (213.7172.25),"241.3870, 241.8102.5",2024.1 EAP 1,2024.1,17 Jan,n,y,y,1,y,,incorrect warning message,inline variable,https://github.com/JetBrains/intellij-community/commit/fd00898d32a86f01ab267553eed33f7241df7974;https://github.com/JetBrains/intellij-community/commit/c6fbff80c0704b0b4573de7b6411110d29307284,flow analysis issue,,Initial Condition,Initial Condition,"1, ref issue?",,1,0,,,,,,,,,404
