html_url,title,state,created_at,closed_at,is_refactoring_haibo,is_refactoring_zhuolin,conflicts,has_input,has_patch,is_duplicated,is_refactoring_final,refactoring type,symptom category,input property,new root cause,stage,original root cause,cross checked,reproducebale,might need to remove,symptom sub category,initialize refactoring,initial condition,final condition,create change,confused,note
https://github.com/eclipse-jdt/eclipse.jdt.ui/issues/1360,Inline method refactoring leads to changes in refactoring access permissions,closed,2024-04-23 07:52:19+00:00,2024-04-30 16:00:24+00:00,1,1,,1,1,0,1,Inline method,behavior change,,ast rewrite issue,Create Change,ast transformation issue,1,1,,broken access,,,1,,,
https://github.com/eclipse-jdt/eclipse.jdt.ui/issues/1370,Refactor remove overridden assignment clean-up to jdt.core.manipulation for jdt.ls use,closed,2024-04-25 20:52:28+00:00,2024-04-30 01:05:28+00:00,0,0,,0,1,0,0,,,,,,,,,,,,,,,,
https://github.com/eclipse-jdt/eclipse.jdt.ui/issues/1315,jdt.ui.tests.refactoring DNF since I20240331-1800,closed,2024-04-06 07:17:13+00:00,2024-04-10 17:58:32+00:00,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
https://github.com/eclipse-jdt/eclipse.jdt.ui/issues/1305,Bugï¼šMove method depends on the static method of the original class and the static method of the inner class,closed,2024-04-02 03:32:47+00:00,2024-04-16 12:15:27+00:00,1,0,1,1,0,0,1,Move method,compile error,,,,,1,1,,,,,,,,
https://github.com/eclipse-jdt/eclipse.jdt.ui/issues/1192,Refactor rename of method named 'copy' freezes Eclipse,closed,2024-02-14 11:59:24+00:00,2024-02-14 20:27:47+00:00,1,1,,1,1,0,0,rename method,bad performance,,Incorrect Type Resolving,Create Change,overly weak preconditions,1,1,,freeze,,,1,,,
https://github.com/eclipse-jdt/eclipse.jdt.ui/issues/1373,Refactor elseif cleanup to jdt.core.manipulation for use by jdt.ls,closed,2024-04-26 20:11:10+00:00,2024-04-30 01:06:03+00:00,0,0,,1,1,0,0,,,,,,,,,,,,,,,,
https://github.com/eclipse-jdt/eclipse.jdt.ui/issues/1293,IllegalAccessError - tried to access protected method in org.eclipse.ltk.core.refactoring.Change,closed,2024-03-29 08:52:39+00:00,2024-04-19 15:45:54+00:00,0,0,,1,1,0,0,,,,,,,,,,,,,,,,
https://github.com/eclipse-jdt/eclipse.jdt.ui/issues/1317,BadLocationException at org.eclipse.jface.text.link.LinkedPositionGroup.enforceDisjoint(LinkedPositionGroup.java:162),closed,2024-04-08 10:27:27+00:00,2024-04-22 15:34:17+00:00,1,0,1,0,1,0,1,,,,,,,,,,,,,,,,
https://github.com/eclipse-jdt/eclipse.jdt.ui/issues/1080,Allow Batch Field Encapsulation for Multiple Fields,closed,2024-01-17 09:13:14+00:00,2024-04-09 18:31:02+00:00,0,0,,0,1,0,0,,,,,,,,,,,,,,,,
https://github.com/eclipse-jdt/eclipse.jdt.ui/issues/1273,"Cleanup: ""Convert String to TextBlock"" deletes comments",closed,2024-03-20 09:54:40+00:00,2024-03-22 04:17:54+00:00,1,1,,1,1,0,1,Convert String to TextBlock,comment related,,ast rewrite issue,Create Change,ast transformation issue,,,,delete comment,,,1,1,,"@override, visit(), ->rewriteAST()"
https://github.com/eclipse-jdt/eclipse.jdt.ui/issues/1237,"Cleanup: ""Convert String to TextBlock"" super slow",closed,2024-03-07 08:35:26+00:00,2024-03-08 00:11:34+00:00,1,1,,0,1,0,1,,,,,,,,,,,,,,,,
https://github.com/eclipse-jdt/eclipse.jdt.ui/issues/1286,Extract method in switch expression with yield keep yield in extracted method,closed,2024-03-22 14:05:48+00:00,2024-04-03 02:02:24+00:00,1,1,,1,1,0,1,extract method,compile error,"switch, yield",flow analysis issue,Create Change,ast transformation issue,1,1,,,,,,1,,
