html_url,id_number,importance,product,component,assignee,status,resolution,summary,changeddate,commit_html_url,is_duplicated,is_refactoring_haibo,is_refactoring_zhuolin,conflict,has_input_program,has_patch,final,refactoring type,cross checked,reproducebale,might need to remove,symptom category,symptom sub category,input property,root cause,stage,
https://bz.apache.org/netbeans/show_bug.cgi?id=254936,254936,P3,java,Refactor,sdedic,RESO,FIXE,NullPointerException at org.netbeans.modules.refactoring.java.plugins.MoveMembersTransformer.insertIfMatch,2017/8/4,,0,0,0,0,0,0,0,,,,,,,,,,
https://bz.apache.org/netbeans/show_bug.cgi?id=270953,270953,P2,java,Refactor,sdedic,RESO,FIXE,Refactor -> Introduce Method... inside lambda does not consider referenced finals,2017/7/26,https://github.com/apache/netbeans/commit/1f4f03ae3ef7b0a9745ab7f1701e1ebf22c0aac0,0,1,1,0,1,1,1,Introduce Method,1,1,,compile error,,,ast transformation issue,Create Change,ignore lambda
https://bz.apache.org/netbeans/show_bug.cgi?id=270360,270360,P2,java,Refactor,dbalek,RESO,FIXE,Move class to type refactoring leaves old package declaration,2017/5/28,https://github.com/apache/netbeans/commit/60a390a720fe369f2ae3eb6504a7aa0947652019,0,1,1,0,1,1,1,Move class,,,,compile error,partially,,ast transformation issue,Create Change,add import
https://bz.apache.org/netbeans/show_bug.cgi?id=270036,270036,P2,java,Refactor,sdedic,RESO,FIXE,Class name change refactoring does not change class name in annotations or enums parameters,2017/3/30,,0,1,1,0,1,0,1,Rename class,,,,compile error,incomplete refactoring,annotations or enums,,,
https://bz.apache.org/netbeans/show_bug.cgi?id=262724,262724,P3,java,Refactor,sdedic,RESO,FIXE,"Refactor>Move>Select All = hang for eternity, unresponsive",2016/8/27,,0,1,1,0,0,0,1,,,,,,,,,,
https://bz.apache.org/netbeans/show_bug.cgi?id=253902,253902,P3,java,Refactor,ralphbenjamin,RESO,FIXE,NullPointerException at org.netbeans.modules.refactoring.java.ui.IntroduceParameterPanel$2$1.run,2016/8/12,,0,0,0,0,0,0,0,,,,,,,,,,
https://bz.apache.org/netbeans/show_bug.cgi?id=261585,261585,P3,java,Refactor,sdedic,RESO,FIXE,NullPointerException at org.netbeans.modules.refactoring.java.ui.RenameRefactoringUI$2.create,2016/8/11,,0,0,0,0,0,0,0,,,,,,,,,,
https://bz.apache.org/netbeans/show_bug.cgi?id=260880,260880,P3,java,Refactor,sdedic,RESO,FIXE,NullPointerException at org.netbeans.modules.refactoring.java.ui.InlineRefactoringUI$1.create,2016/8/11,,0,0,0,0,0,0,0,,,,,,,,,,
https://bz.apache.org/netbeans/show_bug.cgi?id=258227,258227,P3,java,Refactor,sdedic,RESO,FIXE,NullPointerException at org.netbeans.modules.refactoring.java.plugins.JavaWhereUsedQueryPlugin$1.run,2016/8/11,,0,0,0,0,0,0,0,,,,,,,,,,
https://bz.apache.org/netbeans/show_bug.cgi?id=219199,219199,P4,java,Refactor,ralphbenjamin,VERI,FIXE,Refactoring Push Down Creates Blank Line Between Fields,2016/7/23,,0,1,1,0,1,0,1,Push Down,,,,unnecessary change,add empty line,,,,
https://bz.apache.org/netbeans/show_bug.cgi?id=262811,262811,P2,java,Refactor,tzezula,RESO,FIXE,Starvation in Java refactoring,2016/7/15,,0,0,0,0,0,0,0,,,,,,,,,,
https://bz.apache.org/netbeans/show_bug.cgi?id=192416,192416,P4,java,Refactor,jbecicka,VERI,FIXE,[70cat] Extract superclass refactoring generates non compilable code,2016/7/9,,0,1,1,0,1,0,1,Extract superclass,,,,compile error,incomplete refactoring / broken access,,,,
https://bz.apache.org/netbeans/show_bug.cgi?id=262177,262177,P3,java,Refactor,ralphbenjamin,RESO,FIXE,NullPointerException at org.netbeans.modules.refactoring.java.plugins.IntroduceLocalExtensionTransformer.addFields,2016/5/27,,0,0,0,0,1,0,0,,,,,,,,,,
https://bz.apache.org/netbeans/show_bug.cgi?id=258579,258579,P3,java,Refactor,ralphbenjamin,RESO,FIXE,NullPointerException at org.netbeans.modules.refactoring.java.plugins.TreeDuplicator.duplicate,2016/5/18,,0,0,1,1,0,0,0,,,,,,,,,,
https://bz.apache.org/netbeans/show_bug.cgi?id=258950,258950,P3,java,Refactor,ralphbenjamin,RESO,FIXE,NullPointerException at org.netbeans.modules.refactoring.java.plugins.InlineMethodTransformer.visitCompilationUnit,2016/5/17,,0,0,0,0,0,0,0,,,,,,,,,,
https://bz.apache.org/netbeans/show_bug.cgi?id=259004,259004,P3,java,Refactor,ralphbenjamin,RESO,FIXE,Inner to Outer refactoring breaks implicit lambdas,2016/5/7,,0,1,1,0,1,0,1,Move Inner to Outer Level,,,,compile error,lambda,,,,
https://bz.apache.org/netbeans/show_bug.cgi?id=236189,236189,P3,java,Refactor,ralphbenjamin,RESO,FIXE,Illegal qualified enum names after Move refactoring,2016/3/3,,0,1,1,0,1,0,1,move inner class to outer level,,,,compile error,,"switch, enum",,,
https://bz.apache.org/netbeans/show_bug.cgi?id=253944,253944,P3,java,Refactor,ralphbenjamin,VERI,FIXE,[81cat][refactoring]Undo dialog shows extra '&' when undoing use supertype where possible,2015/9/14,,0,0,0,0,0,0,0,,,,,,,,,,
