html_url,title,state,created_at,closed_at,has_input,has_patch,refactoring type,symptom,sub symptom,input property,root cause,sub root cause
https://github.com/eclipse-jdt/eclipse.jdt.ui/issues/1360,Inline method refactoring leads to changes in refactoring access permissions,closed,2024-04-23 07:52:19+00:00,2024-04-30 16:00:24+00:00,1,1,Inline method,behavior change,behavior change,,incorrect transformations,ast rewrite issue
https://github.com/eclipse-jdt/eclipse.jdt.ui/issues/1305,Bugï¼šMove method depends on the static method of the original class and the static method of the inner class,closed,2024-04-02 03:32:47+00:00,2024-04-16 12:15:27+00:00,1,0,Move method,compile error,compile error,,,
https://github.com/eclipse-jdt/eclipse.jdt.ui/issues/1273,"Cleanup: ""Convert String to TextBlock"" deletes comments",closed,2024-03-20 09:54:40+00:00,2024-03-22 04:17:54+00:00,1,1,Convert String to TextBlock,comment related,comment related,,incorrect transformations,ast rewrite issue
https://github.com/eclipse-jdt/eclipse.jdt.ui/issues/1286,Extract method in switch expression with yield keep yield in extracted method,closed,2024-03-22 14:05:48+00:00,2024-04-03 02:02:24+00:00,1,1,extract method,compile error,compile error,"switch, yield",incorrect flow analysis,flow analysis issue
https://github.com/eclipse-jdt/eclipse.jdt.ui/issues/1083,"""Make Static"" refactoring erroneously changes method call",closed,2024-01-17 13:30:29+00:00,2024-01-18 22:13:13+00:00,1,1,Make method Static,compile error,compile error,,incorrect type resolving,Incorrect Type Resolving
https://github.com/eclipse-jdt/eclipse.jdt.ui/issues/1044,"""Make Static"" refactoring adds unnecessary parameter",closed,2024-01-05 08:28:55+00:00,2024-01-16 19:16:27+00:00,1,1,Make method Static,compile error,compile error,,incorrect transformations,ast rewrite issue
https://github.com/eclipse-jdt/eclipse.jdt.ui/issues/1045,"""Make Static"" refactoring failing because of overlapping text edits",closed,2024-01-05 08:29:04+00:00,2024-01-17 00:04:03+00:00,1,1,Make method Static,crash,exception,,incorrect transformations,ast rewrite issue
https://github.com/eclipse-jdt/eclipse.jdt.ui/issues/1043,"""Make Static"" refactoring adds new parameter documentation as first javdoc entry",closed,2024-01-05 08:26:20+00:00,2024-01-18 21:51:56+00:00,1,1,Make method Static,comment related,comment related,,incorrect transformations,ast rewrite issue
https://github.com/eclipse-jdt/eclipse.jdt.ui/issues/1111,Convert to text block save action formatting is strange,closed,2024-01-19 16:02:08+00:00,2024-01-22 22:40:35+00:00,1,1,Convert to text block,unnecessary change,unnecessary change,,incorrect transformations,ast rewrite issue
https://github.com/eclipse-jdt/eclipse.jdt.ui/issues/963,Cleanup: Convert to enhanced 'for' loops creates not compilable code,closed,2023-12-04 08:27:03+00:00,2024-02-05 15:51:15+00:00,1,1,Convert to enhanced 'for' loops,compile error,compile error,,incorrect transformations,ast rewrite issue
https://github.com/eclipse-jdt/eclipse.jdt.ui/issues/1023,ExtractConstantRefactoring cannot handle a StringLiteral when not in type declaration,closed,2023-12-19 13:48:57+00:00,2024-01-08 20:58:45+00:00,1,1,Extract Constant,crash,exception,,incorrect preconditions checking,overly weak preconditions
https://github.com/eclipse-jdt/eclipse.jdt.ui/issues/1136,"Quickfix ""Extract to local Variable"": sometimes creates ""MISSING()""",closed,2024-01-26 13:00:56+00:00,2024-02-07 20:50:19+00:00,1,1,Extract to local Variable,compile error,compile error,,incorrect transformations,ast rewrite issue
https://github.com/eclipse-jdt/eclipse.jdt.ui/issues/950,NPE in Convert String contenation to Text Block,closed,2023-11-30 16:15:12+00:00,2023-12-06 01:24:51+00:00,1,1,Convert String contenation to Text Block ,crash,exception,,incorrect transformations,ast rewrite issue
https://github.com/eclipse-jdt/eclipse.jdt.ui/issues/906,Externalize Strings does not supporting Java text-blocks,closed,2023-11-07 07:25:52+00:00,2023-11-28 22:22:07+00:00,1,1,Externalize Strings,unnecessary change,unnecessary change,,incorrect transformations,ast rewrite issue
