original bug report url,original tool,faulty target tool,Version,JDK version,Refactoring Type,Input program,Expected output prgram,Actual output program,Procedure,Symptom,submitted,state
https://bugs.eclipse.org/bugs/show_bug.cgi?id=532996,Eclipse,IDEA,"IntelliJ IDEA 2024.1.1 (Ultimate Edition)
Build #IU-241.15989.150, built on April 29, 2024
Runtime version: 17.0.10+1-b1207.14 amd64
VM: OpenJDK 64-Bit Server VM by JetBrains s.r.o",Oracle OpenJDK 17.0.8,Rename Class,"public class A {
}
public class B {
    public static void main(String[] args) {
        var aa = new A();
    }
}","public class C {
}
public class B {
    public static void main(String[] args) {
        var aa = new C();
    }
}","public class A {
}
public class B {
    public static void main(String[] args) {
        var aa = new A();
    }
}","Put the cursor on the var, Refactor-rename. There are two problems:
1. The cursor focus should be moved to the A(), but actually not;
2. After manually move cursor to the A() and type new class name for the class then press enter, 
nothing changed. Class A should be changed to the typed new class name.",Fail to refactoring,https://youtrack.jetbrains.com/issue/IDEA-353991/Fail-to-rename-class,pending
https://bugs.eclipse.org/bugs/show_bug.cgi?id=407985,Eclipse,IDEA,"IntelliJ IDEA 2024.1.1 (Ultimate Edition)
Build #IU-241.15989.150, built on April 29, 2024
Runtime version: 17.0.10+1-b1207.14 amd64
VM: OpenJDK 64-Bit Server VM by JetBrains s.r.o",Oracle OpenJDK 17.0.8,Extract Method,"public class A {

    void foo(int value) {
        class Local {
            void bar() {
                Runnable runnable = () -> {
                    System.out.println(value);
                };
            }
        }
    }
}","public class A {
    void foo(int value) {
        class Local {
            void bar() {
                Runnable runnable = () -> {
                    extracted(value);
                };
            }

			private void extracted(int value) {
				System.out.println(value);
			}
        }
    }
}","public class A {

    void foo(int value) {
        class Local {
            void bar() {
                Runnable runnable = () -> {
                    extracted();
                };
            }

            private static void extracted() {
                System.out.println(value);
            }
        }
    }
}",if the Extract method refactoring is applied to the body of the lambda expression assigned to runnable and class Local is chosen as the destination of the new method,Compile error,https://youtrack.jetbrains.com/issue/IDEA-354122/Extract-Method-refactoring-produces-refactored-program-contains-syntax-error,fixed
https://github.com/eclipse-jdt/eclipse.jdt.ui/issues/1083,Eclipse,IDEA,"IntelliJ IDEA 2024.1.1 (Ultimate Edition)
Build #IU-241.15989.150, built on April 29, 2024
Runtime version: 17.0.10+1-b1207.14 amd64
VM: OpenJDK 64-Bit Server VM by JetBrains s.r.o",Oracle OpenJDK 17.0.8,Make Static,"public class Foo {

    private int counter;

    public Foo(int initialCounter) {
        this.counter = initialCounter;
    }

    void toBeRefactored() {
        new Foo(counter + 10) {
            void toImplement() {
                toCall();
            }
        }.toImplement();
    }

    void toCall() {
        System.out.println(""Counter: "" + counter);
    }

    public static void main(String[] args) {
        Foo foo = new Foo(5);
        foo.toBeRefactored();
    }
}","public class Foo {

    private int counter;

    public Foo(int initialCounter) {
        this.counter = initialCounter;
    }

    static void toBeRefactored(Foo foo) {
        new Foo(foo.counter + 10) {
            void toImplement() {
                toCall();
            }
        }.toImplement();
    }

    void toCall() {
        System.out.println(""Counter: "" + counter);
    }

    public static void main(String[] args) {
        Foo foo = new Foo(5);
        Foo.toBeRefactored(foo);
    }
}","public class Foo {

    private int counter;

    public Foo(int initialCounter) {
        this.counter = initialCounter;
    }

    static void toBeRefactored(final Foo foo) {
        new Foo(foo.counter + 10) {
            void toImplement() {
                foo.toCall();
            }
        }.toImplement();
    }

    void toCall() {
        System.out.println(""Counter: "" + counter);
    }

    public static void main(String[] args) {
        Foo foo = new Foo(5);
        Foo.toBeRefactored(foo);
    }
}","make static for the method toBeRefactored,
the ouput is different before and after",behavior change,https://youtrack.jetbrains.com/issue/IDEA-354116/Make-Static-refactoring-erroneously-changes-the-behavior-of-my-program,confirmed
https://youtrack.jetbrains.com/issue/IDEA-331198/Exception-upon-Extract-method-on-String-template,IDEA,Eclipse,"Eclipse IDE for Enterprise Java and Web Developers (includes Incubating components)

Version: 2024-03 (4.31.0)
Build id: 20240307-1437",Oracle OpenJDK 22.0.1,extract method,"import static java.lang.StringTemplate.STR;

public class A {
    public static void main(String[] args) {
        foobar(args);
    }

    public static String foobar(String[] args) {
        return args.length == 0 ? ""zero length"" : STR.""\{args[0]}"" ;
    }
}","import static java.lang.StringTemplate.STR;

public class A {
    public static void main(String[] args) {
        foobar(args);
    }

    public static String foobar(String[] args) {
        return args.length == 0 ? ""zero length"" : getString(args);
    }

    private static String getString(String[] args) {
        return STR.""\{args[0]}"";
    }
}",a warning,"Steps: 
put carret on STR
call ""Extract method"" refactoring
Select STR.""\{args[0]}""
Expected: 
expression moved to separate method",fail to refactoring,,
https://youtrack.jetbrains.com/issue/IDEA-133095/Extract-method-refactoring-produces-incorrect-code,IDEA,NetBeans,"Product Version: Apache NetBeans IDE 21
Java: 17.0.8; Java HotSpot(TM) 64-Bit Server VM 17.0.8+9-LTS-211
Runtime: Java(TM) SE Runtime Environment 17.0.8+9-LTS-211
System: Windows 10 version 10.0 running on amd64; Cp1252; en_US (nb)",Oracle OpenJDK 22.0.1,extract method,"public class A {
    interface I {
        String foo();
    }
    public void foo(int ii) {
        I r = () -> {
            return ""42"";
        };
    }
}","public class A {
    interface I {
        String foo();
    }
    public void foo(int ii) {
        I r = () -> {
            return extracted();
        };
    }
	private String extracted() {
		return ""42"";
	}
}","public class A {
    interface I {
        String foo();
    }
    public void foo(int ii) {
        I r = () -> {
            qq();
        };
    }

    private void qq() {
        return ""42"";
    }
}","perform introduce method refactoring for ""return ""42"";""",compile error,,
https://youtrack.jetbrains.com/issue/IDEA-332489/Inlining-refactoring-operation-leads-to-naming-conflicts,IDEA,NetBeans,"Product Version: Apache NetBeans IDE 21
Java: 17.0.8; Java HotSpot(TM) 64-Bit Server VM 17.0.8+9-LTS-211
Runtime: Java(TM) SE Runtime Environment 17.0.8+9-LTS-211
System: Windows 10 version 10.0 running on amd64; Cp1252; en_US (nb)",Oracle OpenJDK 22.0.1,inline method,"class A {
	public void main() {
            class T {
                    public T() {}
            }
            foo();
	}
	
	public void foo() {
		class T {
			T t;
			public T() {}
		}
	}
}",,"class A {
	public void main() {
            class T {
                    public T() {}
            }

        class T {

            T t;

            public T() {
            }
        }
	}
	
}",perform inline method refactoring on method foo(),compile error,,
https://youtrack.jetbrains.com/issue/IDEA-314882/Inline-method-adds-unnecessary-parentheses-when-inlining-a-string-concatenation-into-a-string-concatenation,IDEA,NetBeans,"Product Version: Apache NetBeans IDE 21
Java: 17.0.8; Java HotSpot(TM) 64-Bit Server VM 17.0.8+9-LTS-211
Runtime: Java(TM) SE Runtime Environment 17.0.8+9-LTS-211
System: Windows 10 version 10.0 running on amd64; Cp1252; en_US (nb)",Oracle OpenJDK 22.0.1,inline method,"class A {
    String middle() {
        return ""middle1"" + ""middle2"";
    }

    String x() {
        return ""start"" + middle() + ""end"";
    }

}","class A {
    String x() {
        return ""start"" + ""middle1"" + ""middle2"" + ""end"";
    }
}","class A {

    String x() {
        return ""start"" + (""middle1"" + ""middle2"") + ""end"";
    }
	
}",perform inline method refactoring on method middle(),redundant change,,
https://youtrack.jetbrains.com/issue/IDEA-145512/Missing-import-after-inline-method,IDEA,NetBeans,"Product Version: Apache NetBeans IDE 21
Java: 17.0.8; Java HotSpot(TM) 64-Bit Server VM 17.0.8+9-LTS-211
Runtime: Java(TM) SE Runtime Environment 17.0.8+9-LTS-211
System: Windows 10 version 10.0 running on amd64; Cp1252; en_US (nb)",Oracle OpenJDK 22.0.1,inline method,"import java.util.HashMap;
import java.util.Map.Entry;
import java.util.Set;
import static java.util.stream.Collectors.toMap;

class A {
    public static void filterMap() {
        new HashMap<Long, Set<Integer>>()
                .entrySet()
                .stream()
                .collect(toMap(Entry::getKey, Entry::getValue));
    }

}
public class B{
    public static void main(String[] args) {
        A.filterMap();
    }
}","import static java.util.stream.Collectors.toMap;

import java.util.HashMap;
import java.util.Map.Entry;
import java.util.Set;

public class B {
    public static void main(String[] args) {
        new HashMap<Long, Set<Integer>>()
		.entrySet()
		.stream()
		.collect(toMap(Entry::getKey, Entry::getValue));
    }
}",error message,perform inline method refactoring on method A.filterMap(); in class B,fail to refactoring,,
https://youtrack.jetbrains.com/issue/IDEA-145795/Inline-method-refactoring-can-change-behavior.,IDEA,NetBeans,"Product Version: Apache NetBeans IDE 21
Java: 17.0.8; Java HotSpot(TM) 64-Bit Server VM 17.0.8+9-LTS-211
Runtime: Java(TM) SE Runtime Environment 17.0.8+9-LTS-211
System: Windows 10 version 10.0 running on amd64; Cp1252; en_US (nb)",Oracle OpenJDK 22.0.1,inline method,"class A {
    public static void main(String[] args) {
        int x = 2;
        System.out.println(getString(x + 2, "" suffix""));
    }

    private static String getString(int number, String suffix) {
        return ""prefix "" + number + suffix;
    }
}","class A {
    public static void main(String[] args) {
        int x = 2;
        System.out.println(""prefix "" + (x + 2) + "" suffix"");
    }

}","class A {
    public static void main(String[] args) {
        int x = 2;
        System.out.println(""prefix "" + x + 2 + "" suffix"");
    }

}",perform inline method refactoring on method getString(),behavior change,,
https://youtrack.jetbrains.com/issue/IDEA-96962/Inline-method-to-super-constructor-call-break-code,IDEA,NetBeans,"Product Version: Apache NetBeans IDE 21
Java: 17.0.8; Java HotSpot(TM) 64-Bit Server VM 17.0.8+9-LTS-211
Runtime: Java(TM) SE Runtime Environment 17.0.8+9-LTS-211
System: Windows 10 version 10.0 running on amd64; Cp1252; en_US (nb)",Oracle OpenJDK 22.0.1,inline method,"public class B{
    public B(String x) {
    }
}
class A extends B {
    public A(String x) {
        super(test(x));
    }

    private static String test(String x) {
        String y = x.trim();
        return y.length() > 0 ? y : ""aaaa"";
    }
}",-,"class A extends B {
    public A(String x) {
        String y = x.trim();
        super(y.length() > 0 ? y : ""aaaa"");
    }

}",perform inline method refactoring on method test(),compile error,,
